LATITUDE,LONGITUDE,FIRE_SIZE
35.02166667,-79.08666667,38.0
35.04227,-79.07015,3.0
35.03757998,-79.06973998,4.0
35.02399,-79.07862999,1.0
35.02966002,-79.13143002,2.0
35.04441998,-79.08247999,11.0
35.04230002,-79.08963,5.0
35.02919001,-79.13865997,3.0
35.03710001,-79.13331997,1.0
35.03823001,-79.10805999,0.4
35.03286,-79.06872,3.0
35.03176,-79.10048,12.0
35.02575,-79.09253,3.0
35.01718,-79.08233,1.0
35.0164,-79.08016,5.0
35.02654,-79.12387,0.2
35.0495,-79.09377,5.0
35.06639,-79.08551,1.0
35.04181,-79.13422,10.0
35.05352,-79.0746,1.5
35.03852,-79.13286,1.0
35.0289,-79.09346,2.0
35.03277,-79.13318,0.5
35.04823,-79.07895,1.0
35.03861,-79.13848,2.0
35.03681,-79.1024,0.5
35.03941,-79.10725,4.0
35.02448,-79.07905,40.0
35.0479,-79.12145,0.1
35.03333,-79.09052,1.0
35.065,-79.0583,20.0
35.0583,-79.0683,2.0
35.035,-79.045,1.0
35.055,-79.065,1.0
35.0483,-79.0583,1.0
35.045,-79.045,1.0
35.045,-79.1217,8.0
35.0417,-79.145,5.0
35.0283,-79.145,7.0
35.0383,-79.125,3.0
35.045,-79.0617,1.0
35.045,-79.055,1.0
35.0583,-79.0483,10.0
35.045,-79.0983,50.0
35.0617,-79.0983,5.0
35.065,-79.0417,12.0
35.045,-79.085,10.0
35.0483,-79.085,5.0
35.0483,-79.0417,1.0
35.045,-79.0517,1.0
35.0383,-79.075,1.0
35.055,-79.0483,1.0
35.0383,-79.0683,3.0
35.045,-79.0817,30.0
35.0483,-79.0883,8.0
35.045,-79.0683,2.0
35.0483,-79.1217,8.0
35.0417,-79.145,3.0
35.045,-79.1483,1.0
35.045,-79.1283,1.0
35.055,-79.0683,50.0
35.0617,-79.0517,5.0
35.045,-79.0783,5.0
35.045,-79.0617,10.0
35.0283,-79.0683,5.0
35.065,-79.0517,4.0
35.0483,-79.0583,1.0
35.045,-79.0783,30.0
35.045,-79.0517,5.0
35.0617,-79.075,8.0
35.0617,-79.0517,1.0
35.0417,-79.045,7.0
35.045,-79.1417,70.0
35.0417,-79.1217,1.0
35.0417,-79.1217,7.0
35.0483,-79.125,2.0
35.0483,-79.115,0.1
35.0283,-79.1183,1.0
35.045,-79.0517,1.0
35.045,-79.0517,1.0
35.0417,-79.145,11.0
35.0417,-79.125,35.0
35.0383,-79.145,1.0
35.045,-79.1483,4.0
35.0417,-79.145,2.0
35.0417,-79.1483,1.0
35.045,-79.1483,6.0
35.0383,-79.125,1.0
35.0383,-79.125,6.0
35.035,-79.1283,1.0
35.0417,-79.1217,1.0
35.045,-79.0517,15.0
35.055,-79.0583,10.0
35.045,-79.085,5.5
35.0383,-79.0883,1.0
35.0317,-79.065,1.0
35.0417,-79.0517,1.0
35.0383,-79.1383,0.1
35.0283,-79.085,8.0
35.0383,-79.1483,5.0
35.0417,-79.1417,2.0
35.0317,-79.1483,15.0
35.055,-79.085,20.0
35.0417,-79.045,4.0
35.045,-79.065,1.0
35.045,-79.105,10.0
35.045,-79.095,3.0
35.045,-79.1483,1.0
35.035,-79.045,1.0
35.0383,-79.125,0.5
35.0483,-79.075,1.0
35.0333,-79.1167,13.0
35.05,-79.0667,40.0
35.0333,-79.0833,10.0
35.05,-79.05,3.0
35.0333,-79.1,2.0
35.0333,-79.15,5.0
35.0333,-79.0833,0.3
35.0333,-79.0667,8.0
35.05,-79.0833,5.0
35.0167,-79.05,6.0
35.05,-79.05,2.0
35.05,-79.0833,40.0
35.0333,-79.05,3.0
35.0333,-79.0833,35.0
35.0333,-79.1,2.0
35.0333,-79.0667,1.9
35.0333,-79.05,6.0
35.0333,-79.1,3.0
35.0333,-79.05,2.0
35.05,-79.05,4.0
35.0667,-79.0833,50.0
35.0333,-79.0667,4.0
35.0167,-79.0833,5.0
35.0167,-79.0667,1.0
35.05,-79.0667,16.0
35.05,-79.0667,0.1
35.0167,-79.0833,0.2
35.0333,-79.1167,0.5
35.0333,-79.1,0.5
35.05283333,-79.03868333,10.0
35.03535,-79.14271666,4.0
35.04493333,-79.108,6.0
35.04683333,-79.11508333,0.2
35.04351666,-79.1167,0.1
35.02868333,-79.09691667,0.5
35.02868333,-79.09691667,25.0
35.0461,-79.10676667,3.0
35.03188333,-79.12083333,20.0
35.03876666,-79.04676666,1.0
35.0382,-79.04268333,15.0
35.07796666,-79.04726666,1.0
35.036131,-79.137963,5.03
35.045028,-79.145521,0.32
35.035583,-79.1445,1.14
35.030687,-79.097954,0.41
35.036699,-79.138878,1.96
