LATITUDE,LONGITUDE,FIRE_SIZE
31.04166667,-92.84166667,1.0
31.01944444,-92.91111111,5.0
31.03388889,-92.89861111,10.0
31.05,-92.83333333,1.0
31.01611111,-92.90055556,9.0
31.01194444,-92.90944444,32.0
30.98833333,-92.88666667,6.0
31.05166667,-92.90166667,1.0
31.03666667,-92.88333333,95.0
31.01055556,-92.905,15.0
31.03333333,-92.88833333,5.0
31.06472222,-92.86666667,35.0
31.06555556,-92.86666667,15.0
31.05722222,-92.87166667,29.0
31.01666667,-92.90833333,8.0
31.0,-92.9,30.0
30.99166667,-92.90916667,281.0
31.06666667,-92.87138889,30.0
31.06666667,-92.875,1.0
31.04166667,-92.88333333,4.0
31.03333333,-92.88333333,394.0
31.05833333,-92.9,141.0
31.02111111,-92.89305556,305.0
30.93749918,-92.84617319,1.5
30.93356867,-92.90561404,5.0
31.07173943,-92.74648608,2.5
30.96662014,-92.80908521,8.0
31.07356247,-92.74461341,1.5
31.02162903,-92.72077165,3.0
31.02199195,-92.71745735,20.0
30.94754542,-92.81281423,4.0
30.94035878,-92.73884585,6.0
30.96608908,-92.8281846,2.0
30.92965619,-92.78243212,0.25
30.99779945,-92.72066476,1.0
30.96406919,-92.83604265,3.0
30.9613326,-92.82634761,1.0
30.96578428,-92.83836299,2.0
30.95836308,-92.83103934,0.25
30.94511546,-92.85293515,1.0
30.92909794,-92.91244246,5.0
30.93509696,-92.76655733,1.0
30.95680709,-92.80214647,2.5
30.95096994,-92.80229394,7.0
30.99893415,-92.72053133,2.0
31.01107068,-92.81927483,80.0
30.93323187,-92.81405572,10.0
30.93795737,-92.79275087,1.0
30.94012428,-92.83825828,6.0
31.07149432,-92.71882059,8.0
31.00179547,-92.72567383,0.25
30.92931318,-92.7971757,2.0
30.93826348,-92.83688387,20.0
31.01196411,-92.84153927,5.0
31.01013672,-92.83360389,20.0
30.92870439,-92.83624041,10.0
30.99913403,-92.82890604,20.0
30.94170109,-92.80135902,10.0
30.9435585,-92.80392119,29.0
30.96634753,-92.79971837,4.0
30.94561468,-92.82412728,2.0
31.07526356,-92.7624801,1.0
31.07135453,-92.77358088,4.0
31.02053183,-92.77949515,144.0
31.06132148,-92.79268158,0.5
31.06010642,-92.81895456,4.0
30.9328166,-92.73923869,0.5
31.05976129,-92.80429988,35.0
30.93939818,-92.76751656,90.0
30.94022278,-92.76973062,10.0
31.01231778,-92.73464101,0.5
30.93449227,-92.74664007,1.0
30.9598183,-92.76495832,2.5
30.93320327,-92.90160514,0.5
31.03738097,-92.78218468,20.0
30.96300367,-92.75272163,0.25
30.94778684,-92.76237321,1.0
31.01482699,-92.73547126,1.5
31.01384947,-92.77376565,2.0
30.93915418,-92.86541024,20.0
30.93728849,-92.81917037,3.0
30.95654212,-92.7467508,0.25
31.07051988,-92.82028505,7.0
31.0603763,-92.80170066,4.0
30.96171104,-92.79794263,2.0
30.95796337,-92.81508414,4.5
30.94115214,-92.81577475,6.0
31.04586985,-92.79592178,2.0
30.99168186,-92.75561276,15.0
30.92893985,-92.86559081,12.0
31.03514634,-92.72095515,3.0
30.92876878,-92.76569948,1.5
30.93716477,-92.75141469,2.0
30.95684131,-92.79695945,0.5
30.93972158,-92.7399617,1.0
30.94222367,-92.74169044,0.5
30.98734905,-92.75872262,3.0
30.9882396,-92.81222237,4.0
30.97192552,-92.75696144,4.0
30.99968941,-92.72888826,7.0
31.00963578,-92.72508106,4.0
30.95267695,-92.80551499,4.0
30.98593674,-92.75810999,3.0
30.99372884,-92.77314589,20.0
30.93727257,-92.81106174,5.0
30.96065851,-92.91301047,3.0
30.99471142,-92.74347163,1.0
30.95065291,-92.74955475,2.0
30.94941167,-92.75951528,1.5
31.0486689,-92.80634095,6.0
30.99482614,-92.80683112,120.0
30.94603991,-92.77443231,0.5
30.96216053,-92.77099692,0.5
30.96969332,-92.82470918,1.0
30.96155174,-92.80016635,1.0
30.94563373,-92.86258602,4.0
30.94218435,-92.86721119,7.0
30.94017163,-92.82975919,20.0
30.94020964,-92.8269892,5.0
30.95349259,-92.82665205,2.0
30.95446047,-92.82839125,2.0
31.04967604,-92.77527626,395.0
31.01922166,-92.78540397,29.0
30.9973491,-92.73956563,8.0
30.97571832,-92.80389072,5.0
30.96760505,-92.81902264,8.0
30.95747441,-92.79899839,3.0
31.03178438,-92.73705682,1.5
31.08040171,-92.80114286,20.0
31.0639023,-92.74160816,3.0
30.97154026,-92.81953642,2.0
30.94148671,-92.82433747,40.0
30.93448802,-92.75036378,6.0
30.92985183,-92.76609176,2.0
30.9307026,-92.76742063,20.0
31.0020188,-92.71926205,7.0
30.96192391,-92.80573023,8.0
31.02467062,-92.81065905,30.0
31.01908379,-92.822788,4.5
31.02382394,-92.82483993,3.0
31.02582174,-92.82480248,3.0
30.93456934,-92.7462112,0.5
31.00217956,-92.72138964,15.0
30.95720963,-92.75754881,1.0
30.99638957,-92.81009089,8.0
30.97449512,-92.82628918,40.0
30.93731755,-92.84979552,1.0
31.00667025,-92.77092218,12.0
30.9613044,-92.79092464,7.0
31.06744807,-92.7670282,3.5
31.07548407,-92.77372219,12.0
30.94395619,-92.86812767,8.0
30.95096074,-92.76608509,20.0
30.94910723,-92.76506365,4.0
30.98226837,-92.76869189,6.0
30.97802067,-92.77312689,3.0
30.93192933,-92.78757002,2.0
30.92813502,-92.77871165,2.5
30.99703844,-92.75979147,1.5
30.95386805,-92.79378712,3.0
31.07374916,-92.75817923,0.5
30.93071281,-92.91322865,1.0
30.97458422,-92.79149947,4.0
30.96979647,-92.78140012,7.0
30.97829222,-92.78378844,2.0
31.05940484,-92.80173058,0.5
31.06155072,-92.8027309,0.5
30.96823486,-92.78851595,0.5
