fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
1-1_MAPES_2022-CALMU-004450,247,326,40.923815,-120.786313,11791.6,11.792,1
1-5_WILDCAT_2022-CALMU-004170,249,326,40.906529,-120.780563,10454.7,10.455,1
2022_SQF_ABCD_MISC__2022-CASQF-001231,810,379,36.141442,-118.749497,18237.8,18.238,1
3-1_CORDER_2022-CALMU-004055,249,295,40.835993,-121.140789,18364.3,18.364,1
3-1_LOST_2022-CALMU-004455,240,311,40.950277,-120.981049,3435.4,3.435,1
3-3_JUNIPER_2022-CALMU-004137,241,306,40.930237,-121.036294,4893.1,4.893,1
3-4_MCCLURE_2022-CALMU-004136,259,310,40.783892,-120.93766,8540.1,8.54,1
3-9_EAST_2022-CALMU-004244,224,309,41.083864,-121.050985,13172.7,13.173,1
79_2022-CACNF-002116,1146,494,33.406854,-116.816339,5170.1,5.17,1
ACORN_2022-CASHF-000422,213,137,40.766556,-123.079883,9951.7,9.952,1
AIRPORT_2022-CAENF-016495,467,308,38.979303,-120.383491,21477.9,21.478,1
ALEX_2022-CAKNF-006290,89,182,41.940425,-122.955242,32664.3,32.664,1
ALISO_2022-CAANF-003283,1008,394,34.436245,-118.156117,8517.6,8.518,1
ALTO_2022-CABDF-012077,1064,502,34.144279,-116.887449,7802.1,7.802,1
ANDERSON__2022-CACNF-001371,1208,490,32.85247,-116.743045,13496.7,13.497,1
ANNIE_2022-CALPF-001810,969,241,34.46904,-119.878953,6770.1,6.77,1
ANTELOPE_2022-CAMDF-000323,175,348,41.595683,-120.737957,14490.1,14.49,1
APPLEGATE_2022-CAKNF-002489,95,145,41.795834,-123.369591,41884.7,41.885,1
ASH_2022-CALPF-001994,853,191,35.371592,-120.690623,2996.9,2.997,1
ASH_2022-CASTF-001481,562,314,38.167918,-120.067333,4368.1,4.368,1
ASH_2022-CATNF-001338,427,336,39.387437,-120.172221,14673.9,14.674,1
ASPENDELL_2022-CAINF-001173,693,417,37.240112,-118.599029,40637.6,40.638,1
ASPEN_2022-CAENF-017949,493,329,38.799513,-120.077251,35033.8,35.034,1
ASPEN_2022-CAMDF-000643,156,286,41.616982,-121.522699,18493.3,18.493,1
