fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
BEAR_2021-CAENF-022077,512,321,38.61725,-120.117963,15706.8,15.707,1
BIG_PINE_2021-CABDF-018139,1043,494,34.314956,-117.013863,13467.8,13.468,1
BLOOMFIELD_2021-CASTF-001865,528,343,38.525564,-119.828694,19799.9,19.8,1
BORDER_2021-CAMDF-000575,173,286,41.470541,-121.47123,4903.0,4.903,1
BOX_2021-CAMDF-001391,206,327,41.280321,-120.893488,10252.3,10.252,1
BRANCH_2021-CAKNF-006399,77,140,41.936798,-123.48811,33893.5,33.893,1
BROWNES_2021-CASTF-000628,566,312,38.128858,-120.079474,8531.2,8.531,1
BUCKSKIN_2021-CAENF-020954,509,303,38.604099,-120.328679,16288.6,16.289,1
Beskeen__2021-CAPNF-000184,349,288,39.956253,-120.934888,743.5,0.744,1
CAMPUS_2021-CABDF-012440,1051,463,34.188074,-117.329962,3543.0,3.543,1
CARSON_2021-CAENF-013467,500,324,38.727922,-120.115436,27562.7,27.563,1
CENTER_2021-CABDF-005836,1037,454,34.294684,-117.45416,9530.0,9.53,1
CHECK_2021-CABDF-012207,1035,452,34.308575,-117.479583,10713.9,10.714,1
CLEGHORN_2021-CABDF-001345,1040,454,34.268289,-117.448155,7701.8,7.702,1
CLOUD_2021-CABDF-009443,1052,467,34.186609,-117.285206,3209.7,3.21,1
COYOTE_2021-CARRU-073166,1092,496,33.886707,-116.897661,8493.7,8.494,1
CROSSING_2021-CAINF-000543,649,421,37.632532,-118.657246,32977.8,32.978,1
CROWDER_2021-CAMDF-000588,157,364,41.787265,-120.602276,22089.9,22.09,1
CUDDY_2021-CALPF-000993,948,326,34.827917,-119.015068,1794.4,1.794,1
Corte_Madera_2021-CACNF-000407,1220,503,32.769315,-116.584157,3907.6,3.908,1
DALE_2021-CASHF-000975,161,203,41.37539,-122.478369,2242.4,2.242,1
DEXTER_2021-CAINF-001695,626,406,37.803118,-118.87923,16865.6,16.866,1
DUSY_2021-CASNF-001231,699,382,37.117273,-118.972925,24722.0,24.722,1
EAST_2021-CASHF-000646,210,134,40.784723,-123.124062,14187.2,14.187,1
FAWN_2021-CASHU-010480,235,199,40.730381,-122.294899,7833.4,7.833,1
FLAT_2021-CASHF-000907,168,221,41.359054,-122.246421,5770.1,5.77,1
FOX_2021-CALNF-002007,282,310,40.585161,-120.871594,3379.0,3.379,1
GAGGS_2021-CASNF-001725,661,343,37.368282,-119.496287,11644.4,11.644,1
GINGER_BREAD_2021-CABDF-018471,1102,509,33.821664,-116.74004,1657.0,1.657,1
GOBBI_2021-CAENF-023392,483,306,38.836177,-120.363545,19123.1,19.123,1
GRAND_VIEW_2021-CABDF-012129,1056,501,34.212998,-116.913613,2032.5,2.032,1
